#Дата учета;Код бумаги;Наименование;Эмитент;ISIN;Рег. номер;Дата начала размещения
2020-05-08;RU000A0ZYLX0;ДОМ РФ ИА 03;Общество с ограниченной ответственностью "ДОМ.РФ Ипотечный агент";RU000A0ZYLX0;4-03-00307-R-001P;2017-12-26
2020-05-08;RU000A0ZYM05;ГПБ (АО) БО-25;"Газпромбанк" (Акционерное общество);RU000A0ZYM05;4B022500354B;2017-12-26
2020-05-08;RU000A0ZYM21;ДОМОДЕДОВО ФьюэлФ 001Р-01;Общество с ограниченной ответственностью "ДОМОДЕДОВО ФЬЮЭЛ ФАСИЛИТИС";RU000A0ZYM21;4B02-01-00356-R-001P;2017-12-26
2020-05-08;RU000A0ZYMN9;Вертолеты России об. БО-03;Акционерное общество "Вертолеты России";RU000A0ZYMN9;4B02-03-12310-A;2017-12-28
2020-05-08;RU000A0ZYNY4;ГосТранспортЛизингКомп 001P-07;публичное акционерное общество "Государственная транспортная лизинговая компания";RU000A0ZYNY4;4B02-07-32432-H-001P;2018-01-19
2020-05-08;RU000A0ZYPB7;Инвестторгстрой ООО обл. 01;Общество с ограниченной ответственностью "Инвестторгстрой";RU000A0ZYPB7;4-01-10027-R;2018-01-25
2020-05-08;RU000A0ZYPG6;ТрансКонтейнер ПАО БО-01;Публичное акционерное общество "Центр по перевозке грузов в контейнерах "ТрансКонтейнер";RU000A0ZYPG6;4B02-01-55194-E;2018-01-25
2020-05-08;RU000A0ZYQU5;ДОМ.РФ (АО) БО 001P-02R;Акционерное общество "ДОМ.РФ";RU000A0ZYQU5;4B02-02-00739-A-001P;2018-02-02
2020-05-08;RU000A0ZYQX9;ВБРР АО БО-001P-02;Акционерное общество "Всероссийский банк развития регионов";RU000A0ZYQX9;4B020203287B001P;2018-02-02
2020-05-08;RU000A0ZYQY7;АФК "Система" ПАО БО-001P-07;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "АКЦИОНЕРНАЯ ФИНАНСОВАЯ КОРПОРАЦИЯ "СИСТЕМА";RU000A0ZYQY7;4B02-07-01669-A-001P;2018-02-02
2020-05-08;RU000A0ZYR18;Башкирская содовая комп. 1P-01;Акционерное общество "Башкирская содовая компания";RU000A0ZYR18;4B02-01-01068-K-001P;2018-02-02
2020-05-08;RU000A0ZYR91;ГТЛК БО 001Р-08;публичное акционерное общество "Государственная транспортная лизинговая компания";RU000A0ZYR91;4B02-08-32432-H-001P;2018-02-06
2020-05-08;RU000A0ZYRX7;ГПБ (АО) БО-18;"Газпромбанк" (Акционерное общество);RU000A0ZYRX7;4B021800354B;2018-02-12
2020-05-08;RU000A0ZYRY5;ГПБ (АО) БО-19;"Газпромбанк" (Акционерное общество);RU000A0ZYRY5;4B021900354B;2018-02-12
2020-05-08;RU000A0ZYSS5;Жилкапинвест БО-01;Общество с ограниченной ответственностью "Жилкапинвест";RU000A0ZYSS5;4B02-01-00362-R;2018-03-06
